"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2036878957916615026","So I have put my money where my mouth is and have detailed what I believe the best 12 for each #IPL2026 team to be (taking into account current player availability) One post for each team below..","en","Tweet","Erika Morris","ErikaMorris79","24682","14","8","0","80","25","2026-03-26 00:22:41","https://x.com/ErikaMorris79/status/2036878957916615026","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#IPL2026","","",""
"2036866702353256934","These ESPN likely line ups make me laugh.. so many where its playerA/playerB. 

The whole point of predicting a playing 12 is to.. well predict a playing 12 not have 3 positions with multiple possibilities. 

Put your neck on the line and name a 12.","en","Quoted","Erika Morris","ErikaMorris79","36628","12","7","1","151","1","2026-03-25 23:33:59","https://x.com/ErikaMorris79/status/2036866702353256934","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2036869128137396442","Question for the day...If you were able to take one player from another #IPL2026 team, who would it be?","en","Tweet","Erika Morris","ErikaMorris79","12996","111","0","13","63","2","2026-03-25 23:43:38","https://x.com/ErikaMorris79/status/2036869128137396442","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#IPL2026","","",""
"2036790204221243738","GT will hope for their star players and middle order to fire 🧐 

Team preview: https://t.co/g4EJ981Snb https://t.co/NsQZTg1v7w","en","Quoted","ESPNcricinfo","ESPNcricinfo","44977","21","20","19","577","18","2026-03-25 18:30:01","https://x.com/ESPNcricinfo/status/2036790204221243738","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","","http://srkl.in/6010B76PVO","photo","https://pbs.twimg.com/media/HEQL8zVa8AA-XgN.png"
"2036817490768970198","Right teams I’m trying DESPERATELY to finalise the #IPL2026 stats thread to post tomorrow.. can you just finish releasing all the replacements now 😂","en","Tweet","Erika Morris","ErikaMorris79","3495","8","2","0","77","1","2026-03-25 20:18:26","https://x.com/ErikaMorris79/status/2036817490768970198","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#IPL2026","","",""
"2036519941868761341","Guess what I am recording tomorrow and never ever deleting from my Sky box? #RCB https://t.co/dRchtL3v3g","en","Tweet","Erika Morris","ErikaMorris79","4806","7","0","0","60","3","2026-03-25 00:36:05","https://x.com/ErikaMorris79/status/2036519941868761341","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#RCB","","photo","https://pbs.twimg.com/media/HEMsF6Tb0AA1Kz5.jpg"
"2036501797490270588","Ben Duckett pulling out of #IPL might have done DC a favour. Their batting line up was top heavy with KL, Shaw, Nissanka, Porel and Duckett as opening options along with Rana and Nair at 3.

If I was them I would target a spin bowling all rounder who can bat in the middle order as a replacement.","en","Tweet","Erika Morris","ErikaMorris79","25636","41","10","3","250","7","2026-03-24 23:23:59","https://x.com/ErikaMorris79/status/2036501797490270588","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","#IPL","","",""
"2036473462638670249","Good or bad thing RCB nation?","en","Tweet","Erika Morris","ErikaMorris79","36690","41","1","0","184","10","2026-03-24 21:31:23","https://x.com/ErikaMorris79/status/2036473462638670249","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2036462042543169865","🚨 RCB HAS BEEN SOLD TO BIRLAS. 🚨

- A consortium of Aditya Birla Group, American sports investor David Blitzer, US private equity firm Blackstone has acquired RCB. (Money Control). https://t.co/O8xTvQW3ML","en","Quoted","Mufaddal Vohra","mufaddal_vohra","521660","336","1174","186","17010","464","2026-03-24 20:46:01","https://x.com/mufaddal_vohra/status/2036462042543169865","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HEL3bWdaIAMH-tw.jpg"
"2036435209239789941","IPL bowling stats 

Games: 9
Balls bowled : 164
Runs conceded: 284
Wickets: 5 
Average : 56.9
Strike Rate : 32.9
Economy : 10.39

Surely there are better players?","en","Tweet","Erika Morris","ErikaMorris79","11366","14","3","1","87","5","2026-03-24 18:59:23","https://x.com/ErikaMorris79/status/2036435209239789941","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
