"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2036864685883248828","Don't think I've liked a rcb x Puma kit as much as this 🤌🏼 https://t.co/ecnNhQVkq8","en","Tweet","arfan","Im__Arfan","47394","25","40","12","1684","84","2026-03-25 23:25:58","https://x.com/Im__Arfan/status/2036864685883248828","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/HERlobVaoAAxbW2.jpg
https://pbs.twimg.com/media/HERloanbEAABGGq.jpg"
"2036839234095751271","There's atleast update on other SL players in IPL but what about Nuwan Thushara... No fitness update nothing, it's like the person has vanished","en","Tweet","arfan","Im__Arfan","20155","5","12","0","618","8","2026-03-25 21:44:50","https://x.com/Im__Arfan/status/2036839234095751271","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036824579637964894","Free metro ride but no fan has match tickets 🫡","en","Tweet","arfan","Im__Arfan","46410","14","41","0","1607","8","2026-03-25 20:46:36","https://x.com/Im__Arfan/status/2036824579637964894","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2035959922618253806","🚨 RCB is offering free Metro rides for ticket holders on match days in Bengaluru. https://t.co/huamuI5TD6","en","Quoted","Indian Tech & Infra","IndianTechGuide","281287","115","464","46","9815","119","2026-03-23 11:30:46","https://x.com/IndianTechGuide/status/2035959922618253806","<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","","","photo","https://pbs.twimg.com/media/HEEuwshW4AAR-O3.jpg"
"2036806427856277989","Seeing that RCB bowling attack makes me cry... Last time when Hazlewood wasn't there for 3 games, we conceded 211, 231 &amp; 227, thankfully batters stepped up in 2 games. Hazlewood makes the entire bowling attack better, the bowlers around him bowl much better when he's there.","en","Tweet","arfan","Im__Arfan","33323","23","64","5","1660","35","2026-03-25 19:34:29","https://x.com/Im__Arfan/status/2036806427856277989","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036784981184553092","Hope Shashank will get that one extra delivery this time","en","Tweet","arfan","Im__Arfan","68831","36","89","8","2130","37","2026-03-25 18:09:15","https://x.com/Im__Arfan/status/2036784981184553092","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036722783431049597","We go again! 💪 https://t.co/qTug1uUB3g","en","Quoted","Punjab Kings","PunjabKingsIPL","79429","14","38","6","852","11","2026-03-25 14:02:06","https://x.com/PunjabKingsIPL/status/2036722783431049597","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HEPkkgfbwAEptSf.jpg"
"2036722316542095577","Replaced an injured player with an injured player hoping he would recover. First time in IPL history I believe.

Spencer's last competitive game was in 2025 IPL.","en","Tweet","arfan","Im__Arfan","22841","9","17","3","515","5","2026-03-25 14:00:15","https://x.com/Im__Arfan/status/2036722316542095577","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036708076892586232","From Yellow to Yellove 💛
A pace boost arrives from Down Under 💪

Note: Spencer Johnson replaces Nathan Ellis.
He is set to join the squad between April 21–23.

#WhistlePodu #Yellove https://t.co/srdNbG81TW","en","Quoted","Chennai Super Kings","ChennaiIPL","592432","498","1319","472","12839","129","2026-03-25 13:03:40","https://x.com/ChennaiIPL/status/2036708076892586232","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#WhistlePodu, #Yellove","","photo","https://pbs.twimg.com/media/HEPXIZYaoAAM35M.jpg"
"2036492469962256653","So I think, slowly RCB will have sister franchises from here on.... Maybe have one in SA20, rest leagues doesn't matter","en","Tweet","arfan","Im__Arfan","39342","18","48","3","1245","20","2026-03-24 22:46:55","https://x.com/Im__Arfan/status/2036492469962256653","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
