"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2036848010328760744","Still 2 days remaining, postpone IPL, let everything become normal, and then announce the new schedule. There's no point in stressing resources by conducting IPL now and then postponing it. BCCI can control the rest of the schedule, pay small boards.IPL gonna stress the resources even more if things don't get back to normal.","en","Tweet","Sai","akakrcb6","71864","23","19","2","652","28","2026-03-25 22:19:43","https://x.com/akakrcb6/status/2036848010328760744","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036803430694740423","#breaking ""We will announce the remaining schedule of #IPL2026 shortly,"" @BCCI secretary @lonsaikia tells TOI!","en","Quoted","Gaurav Gupta","toi_gauravG","95336","9","35","4","682","25","2026-03-25 19:22:34","https://x.com/toi_gauravG/status/2036803430694740423","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#breaking, #IPL2026","","",""
"2036808851992006945","People again underestimated GT's side, they looked weak but that batting is good enough for flat pitches and that bowling is so much better than many teams so they calmly again will do the business, top of it Nehra's Juju.","en","Tweet","Sai","akakrcb6","12702","8","19","1","544","6","2026-03-25 19:44:07","https://x.com/akakrcb6/status/2036808851992006945","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036797649576141242","But Saaar Jitesh did not pick Kohli in his 11 so he does not respect Kohli Saaarrr, being a finisher he wanted to bat more so he is selfish Saaarrr. People need to see what he wrote in his manifestation when he came to RCB. Fellows here are unnecessarily hating him ffs for his unscripted english interviews.","en","Tweet","Sai","akakrcb6","33449","12","65","0","737","76","2026-03-25 18:59:36","https://x.com/akakrcb6/status/2036797649576141242","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036776049858826617","“Maine meri wife ko bola tha ki mujhe iss insaan(virat kohli) ke liye kuch karna hai iss saal, now he(kohli) can say we have everything and usme humko khushi yeh hai ki humne help ki unko”

Jitesh Sharma on winning the IPL 2025 for Kohli ♥️ https://t.co/KJsD9XKfVC","hi","Quoted","yam","noontonightt","55283","8","50","12","430","60","2026-03-25 17:33:46","https://x.com/noontonightt/status/2036776049858826617","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2036775879955865601/vid/avc1/1274x720/p38F-kTcbW-8_BgP.mp4?tag=21"
"2036464158221410750","One thing is certain: all the current backroom staff and coaches will be staying with RCB. That's because the same owners own London Spirit, who have the current RCB backroom staff.","en","Tweet","Sai","akakrcb6","54045","16","70","1","1269","48","2026-03-24 20:54:25","https://x.com/akakrcb6/status/2036464158221410750","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036448396710666601","Birla, Blitzer, Blackstone, Satyan Gajwani bag RCB 
Ranjan Pai, Premji lose out 

Consortium of Birla, Blitzer, Blackstone and others emerges lead contender to acquire Royal Challengers Bengaluru

https://t.co/HuJPSNIawe","en","Quoted","Chandra R. Srikanth","chandrarsrikant","238740","31","197","52","1516","143","2026-03-24 19:51:47","https://x.com/chandrarsrikant/status/2036448396710666601","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","https://www.moneycontrol.com/news/business/companies/consortium-of-birla-blitzer-blackstone-and-others-emerges-lead-contender-to-acquire-royal-challengers-bengaluru-13869529.html","",""
"2036421005716144314","So Edge curse RCB bowlers  starts from practice matches only. I thought it was limited to real matches wah.","en","Tweet","Sai","akakrcb6","12693","2","12","0","338","7","2026-03-24 18:02:57","https://x.com/akakrcb6/status/2036421005716144314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2036413074891219023","Kohli showcases his class by lofting Duffy into the downtown territories. But Duffy has been unlucky so far. He forced Kohli to edge one to third man, only for the fielder to fluff the chance. Then a chance went down at deep square leg.

@Fancricket12 https://t.co/hLxX2kLHKR","en","Quoted","RevSportz Global","RevSportzGlobal","21757","4","11","2","226","5","2026-03-24 17:31:26","https://x.com/RevSportzGlobal/status/2036413074891219023","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/HELK5cXa4AA8jgb.jpg"
"2036384160827498612","Should have just ditched him for moral reasons and for cricket reasons, He is not some prime Starc. Last season his numbers were not good. Powerplay was going 9+ and the slog overs 11+. Middle overs were only decent. Can't bat and Fields like he is pregnant.","en","Tweet","Sai","akakrcb6","39333","35","26","5","581","13","2026-03-24 15:36:32","https://x.com/akakrcb6/status/2036384160827498612","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
