"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2036841973223661673","👀👀#IPL2026 https://t.co/jNnpbRtjg0","qme","Tweet","Ashwin 🇮🇳","ashwinravi99","659990","228","147","66","7415","203","2026-03-25 21:55:43","https://x.com/ashwinravi99/status/2036841973223661673","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#IPL2026","","photo","https://pbs.twimg.com/media/HERNqcsaEAAcdyb.jpg"
"2036678579992543717","A new season and a different format to discuss the teams fortunes.

We start with RCB , see if Punjab have upgraded their squad and of course if GT will retain their play off spot from last season.

Previewing one team is directly proportional to another.🤓 @crikipidea 
 
Preview out⬇️⬇️⬇️

https://t.co/ZJlGfcsRYB","en","Tweet","Ashwin 🇮🇳","ashwinravi99","82497","41","38","5","869","41","2026-03-25 11:06:27","https://x.com/ashwinravi99/status/2036678579992543717","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","video","https://video.twimg.com/amplify_video/2036678449579053056/vid/avc1/2194x1206/wKZKMCz2jlEhA20m.mp4?tag=21"
"2036446606455873649","Ben Duckett pulls out of the IPL now!

Delhi capitals are waiting on a return date for Starc as well. 

Who could be the potential replacement? #ipl2026 https://t.co/Bm8v88aA64","en","Tweet","Ashwin 🇮🇳","ashwinravi99","274548","399","206","44","6683","75","2026-03-24 19:44:40","https://x.com/ashwinravi99/status/2036446606455873649","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ipl2026","","photo","https://pbs.twimg.com/media/HELpZOgbYAAOc-B.jpg"
"2035360948509368781","As we take the Charminar Express and head to Chennai, ( from my previous tweet) Sanju doing some fielding practice with James Foster.

Not just warm up catches, but high balls in the deep.

Indications or just gradually easing in?#ipl2026 #CSK https://t.co/J1YLa8D2JW","en","Tweet","Ashwin 🇮🇳","ashwinravi99","402791","123","354","62","8279","144","2026-03-21 19:50:39","https://x.com/ashwinravi99/status/2035360948509368781","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ipl2026, #CSK","","photo","https://pbs.twimg.com/media/HD8N_labcAAjkeh.jpg
https://pbs.twimg.com/media/HD8N_lSaYAAwUTB.jpg"
"2035358325379064098","SRH ‘A’ just finished their batting Innings and ended up making 240+ in their practice match at the Rajiv Gandhi international stadium.

Abhishek Sharma narrowly missed a ton to probably save up for the main event.🤓

Their new recruit Salil Arora smashed a quick fire 40 too.

A sign of the kind of scores we will end up seeing this IPL, especially from the men in Orange?","en","Tweet","Ashwin 🇮🇳","ashwinravi99","511324","199","414","37","8978","181","2026-03-21 19:40:14","https://x.com/ashwinravi99/status/2035358325379064098","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HD8Lm6ebgAE2N88.jpg"
"2034914149344715261","Oh no! Why not this IPL?","en","Tweet","Ashwin 🇮🇳","ashwinravi99","1497280","291","521","71","14151","443","2026-03-20 14:15:14","https://x.com/ashwinravi99/status/2034914149344715261","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2034900501188468988","I am retiring from commentary for BCCI","en","Quoted","Laxman Sivaramakrishnan","LaxmanSivarama1","2217555","601","290","158","4273","219","2026-03-20 13:21:00","https://x.com/LaxmanSivarama1/status/2034900501188468988","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2030900135149150223","After the penny drops.

Some wins feel special, and this one truly does from a POV “ this isn’t just a World Cup win, it’s a statement.

@surya_14kumar  for the fearless energy you bring to the team is infectious.

@GautamGambhir for the grit and winning mindset you have managed to instil.

@IamSanjuSamson for staying calm, classy and always carrying the hopes of so many fans with grace.

When the pressure peaks, you somehow become even better. Simply priceless. @Jaspritbumrah93 

Congratulations on bringing the T20 World Cup home. Moments like these will stay with us forever. 🇮🇳🏆","en","Tweet","Ashwin 🇮🇳","ashwinravi99","375372","174","2232","8","35640","189","2026-03-09 12:24:59","https://x.com/ashwinravi99/status/2030900135149150223","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HC805ULaEAA4_7Z.jpg"
"2030609597065822543","Join us tonight for the watchalong. And before you ask, PDogg will join as usual for the post match review. https://t.co/YADOGwdhgN","en","Tweet","Ashwin 🇮🇳","ashwinravi99","54394","86","61","3","1461","7","2026-03-08 17:10:29","https://x.com/ashwinravi99/status/2030609597065822543","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HC4sqeab0AAvtyl.jpg"
"2030270580432465979","All the best Sarfaraz!

Time to keep square leg busy🤝","en","Tweet","Ashwin 🇮🇳","ashwinravi99","245615","59","583","3","15842","50","2026-03-07 18:43:21","https://x.com/ashwinravi99/status/2030270580432465979","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2030214249872810238","NUMBER 97 IN CHENNAI SUPER KINGS - SARFARAZ KHAN 💛 https://t.co/JNpc9B0kIz","en","Quoted","Johns.","CricCrazyJohns","314436","60","273","10","5692","25","2026-03-07 14:59:31","https://x.com/CricCrazyJohns/status/2030214249872810238","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/HCzFGfhaAAARyYy.jpg"
"2030162071099428990","This is a World Cup i have well and truly enjoyed covering & the best part has been how there has been scope for some tactical discussion through my new attempt “Tactical Dugout”( in English ) #T20WorldCup 

Here is a small preview of some interesting match ups. ⬇️⬇️

https://t.co/VkCcJczjkZ

Also some exciting future content loading on the “Tactical Dugout”as the men in yellow gear up for #aarupadaiyappa #6TL @crikipidea 

Tell me what you think of these pictures.","en","Tweet","Ashwin 🇮🇳","ashwinravi99","352823","72","290","6","8417","273","2026-03-07 11:32:10","https://x.com/ashwinravi99/status/2030162071099428990","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#T20WorldCup, #aarupadaiyappa, #6TL","","photo","https://pbs.twimg.com/media/HCyVoFAaYAA9ZKf.jpg
https://pbs.twimg.com/media/HCyVoE9bwAAkkUx.jpg
https://pbs.twimg.com/media/HCyVoE_bkAA_cys.jpg"
"2029534100210716943","Can’t wait to do this!
Exciting day and excited to see you all there. https://t.co/qam9TNO8yG","en","Tweet","Ashwin 🇮🇳","ashwinravi99","68705","70","75","5","1960","19","2026-03-05 17:56:51","https://x.com/ashwinravi99/status/2029534100210716943","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HCpagX8bMAEt_1Y.jpg"
"2029368725917581590","Harsh on a team like SA.

Hopefully this will change.","en","Tweet","Ashwin 🇮🇳","ashwinravi99","392169","101","147","6","3866","81","2026-03-05 06:59:42","https://x.com/ashwinravi99/status/2029368725917581590","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2029251783584039053","Night games in T20 WC KOs (since 2014) . Toss crucial
Field First &gt;Win Match 

NZ&gt;SA
SA&gt;AFG
Eng&gt;PAK
Eng&gt;IND
Pak&gt;NZ
Aus&gt;NZ
Aus&gt;Pak
NZ&gt;ENG
WI&gt;ENG
WI&gt;IND
ENG&gt;NZ 
SL&gt;IND
IND&gt; SA 
SL&gt;WI - DLS

Only twice team won batting first. both were day games that India won. #T20WorldCup","en","Quoted","Gaurav Sundararaman","gaurav_sundar","500828","36","104","25","877","117","2026-03-04 23:15:01","https://x.com/gaurav_sundar/status/2029251783584039053","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#T20WorldCup","","",""
"2029234636392677404","https://t.co/B7TsE5RHR9","zxx","Tweet","Ashwin 🇮🇳","ashwinravi99","91191","46","113","1","2542","20","2026-03-04 22:06:53","https://x.com/ashwinravi99/status/2029234636392677404","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","animated_gif","https://video.twimg.com/tweet_video/HClKJF9boAAaV8u.mp4"
"2029232602276577546","Thambi @ashwinravi99 bayanda madiri oru sambavam nadanduduchu. Naalai sandhippom.","hi","Quoted","Prasanna","prasannalara","242520","117","106","13","3048","19","2026-03-04 21:58:48","https://x.com/prasannalara/status/2029232602276577546","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
