"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","Hashtags","URLs","Media Type","Media URLs"
"2036740600125374586","Good series win for the proteas. Objectives to gain for both the teams is to test their young players to get answers on how many out of this bunch can step into the next stage. Proteas might have got answers from few of their players but not sure about the gains of kiwis.","en","Tweet","Prasanna","prasannalara","8792","5","8","0","225","2","2026-03-25 15:12:54","https://x.com/prasannalara/status/2036740600125374586","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2036730001479831933","Good composure this from Jeesham showing his experience defending with full face of the bat when 13 an over needed in a series decider #Experience","en","Tweet","Prasanna","prasannalara","25704","10","8","0","362","8","2026-03-25 14:30:47","https://x.com/prasannalara/status/2036730001479831933","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#Experience","","",""
"2036709906753970490","Another classical half ton from Connor Estheruizen. He is technically sound. Extremely matured with great game awareness. In my humble opinion one of the best players against spin in the country. Proteas should not waste anymore time in fast tracking him into all formats #SAvsNZL","en","Tweet","Prasanna","prasannalara","18713","10","21","1","377","3","2026-03-25 13:10:56","https://x.com/prasannalara/status/2036709906753970490","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#SAvsNZL","","",""
"2035659352166600963","Excellent win for the proteas.","en","Tweet","Prasanna","prasannalara","13638","12","4","0","220","1","2026-03-22 15:36:24","https://x.com/prasannalara/status/2035659352166600963","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2035629420287807879","Both Katene and Dane Cleaver are bright talents.","en","Tweet","Prasanna","prasannalara","12846","3","3","0","124","2","2026-03-22 13:37:28","https://x.com/prasannalara/status/2035629420287807879","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2035405081630429239","Katene Clarke is poised to make his debut in the fourth #NZvSA T20I in Wellington 

▶️ https://t.co/uKnGGkI1Ia https://t.co/u3qoCClEmm","en","Quoted","ESPNcricinfo","ESPNcricinfo","25005","3","17","2","348","1","2026-03-21 22:46:02","https://x.com/ESPNcricinfo/status/2035405081630429239","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","#NZvSA","http://srkl.in/6011BACcSR","photo","https://pbs.twimg.com/media/HD82IZcakAA6rg6.jpg"
"2035612663141580807","Excellent half ton from Estheruizen. Could have went on to make it a big one. 
Future all format player for the Proteas.","en","Tweet","Prasanna","prasannalara","18375","7","7","2","355","0","2026-03-22 12:30:53","https://x.com/prasannalara/status/2035612663141580807","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2035291371435643079","Stunning is an understatement to describe this ground. https://t.co/iRWM6OFTzM","en","Tweet","Prasanna","prasannalara","17500","22","17","0","940","8","2026-03-21 15:14:11","https://x.com/prasannalara/status/2035291371435643079","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","photo","https://pbs.twimg.com/media/HD7OtXmXkAEheqc.jpg"
"2034284002887012478","One bowler who showed the entire world that a fast bowler bowling at an average speed of around 125 KMPH can still dominate at international cricket. Absolute legend @VDP_24","en","Tweet","Prasanna","prasannalara","56242","32","77","2","1293","24","2026-03-18 20:31:16","https://x.com/prasannalara/status/2034284002887012478","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2033941734162366494","Best Test figures of 5/7 vs. NZ 🔥 
3rd fastest to 50 Test wickest(7 matches) 🔥 
5wicket hauls in 3 consecutive innings 🔥 
With a lethal seam movement, Vernon Philander bowled his way to 224 wickets in 64 matches at an average of 22.3 🔥 #underratedcricketers https://t.co/LDkONM6iy3","en","Quoted","nomsa","moyo35003","68310","19","55","5","475","19","2026-03-17 21:51:12","https://x.com/moyo35003/status/2033941734162366494","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#underratedcricketers","","photo","https://pbs.twimg.com/media/HDoDOkDbEAM689u.jpg
https://pbs.twimg.com/media/HDoDOmnXAAQFTWS.jpg"
